job,model,aden_centroid,aden_nearest,cys632
uba1_aden_ub75_with_ube2w,uba1_aden_ub75_with_ube2w__seed-24_sample-1__model.cif,7.63,4.08,32.87
uba1_aden_ub75_with_ube2w,uba1_aden_ub75_with_ube2w__seed-24_sample-2__model.cif,7.62,4.12,30.28
uba1_aden_ub75_with_ube2w,uba1_aden_ub75_with_ube2w__seed-24_sample-3__model.cif,7.84,4.28,32.24
uba1_aden_ub75_with_ube2w,uba1_aden_ub75_with_ube2w__seed-24_sample-4__model.cif,7.7,4.18,30.36
uba1_aden_ub75_with_ube2w,uba1_aden_ub75_with_ube2w__seed-25_sample-0__model.cif,7.69,4.06,32.0
uba1_aden_ub75_with_ube2w,uba1_aden_ub75_with_ube2w__seed-25_sample-1__model.cif,7.67,4.14,32.38
uba1_aden_ub75_with_ube2w,uba1_aden_ub75_with_ube2w__seed-25_sample-2__model.cif,7.68,4.13,31.53
uba1_aden_ub75_with_ube2w,uba1_aden_ub75_with_ube2w__seed-25_sample-3__model.cif,7.63,4.16,31.96
uba1_aden_ub75_with_ube2w,uba1_aden_ub75_with_ube2w__seed-25_sample-4__model.cif,7.77,4.15,32.42
uba1_aden_ub75_with_ube2w,uba1_aden_ub75_with_ube2w__seed-2_sample-0__model.cif,7.7,4.13,31.24
uba1_aden_ub75_with_ube2w,uba1_aden_ub75_with_ube2w__seed-2_sample-1__model.cif,7.57,4.16,31.02
uba1_aden_ub75_with_ube2w,uba1_aden_ub75_with_ube2w__seed-2_sample-2__model.cif,7.78,4.27,30.92
uba1_aden_ub75_with_ube2w,uba1_aden_ub75_with_ube2w__seed-2_sample-3__model.cif,7.88,4.21,32.52
uba1_aden_ub75_with_ube2w,uba1_aden_ub75_with_ube2w__seed-2_sample-4__model.cif,7.68,4.14,32.22
uba1_aden_ub75_with_ube2w,uba1_aden_ub75_with_ube2w__seed-3_sample-0__model.cif,7.8,4.25,32.0
uba1_aden_ub75_with_ube2w,uba1_aden_ub75_with_ube2w__seed-3_sample-1__model.cif,7.63,4.22,31.35
uba1_aden_ub75_with_ube2w,uba1_aden_ub75_with_ube2w__seed-3_sample-2__model.cif,7.84,4.21,32.09
uba1_aden_ub75_with_ube2w,uba1_aden_ub75_with_ube2w__seed-3_sample-3__model.cif,7.67,4.23,32.77
uba1_aden_ub75_with_ube2w,uba1_aden_ub75_with_ube2w__seed-3_sample-4__model.cif,7.77,4.11,31.81
uba1_aden_ub75_with_ube2w,uba1_aden_ub75_with_ube2w__seed-4_sample-0__model.cif,7.68,4.18,31.51
